time,x,y,z,phi,theta,psi
0,0,0,0,0,0,0
0.000380037979721514,4.64578085192268e-15,4.64578085192349e-15,2.18216991459493e-08,-3.81632238319041e-08,3.81632238318968e-08,-7.28151684898082e-16
0.00228022787832908,6.01077921872735e-12,6.01077921873513e-12,7.85342064409308e-07,-1.37005315254421e-06,1.37005315253706e-06,-9.3803515221161e-13
0.0117811773713669,4.24723481769851e-09,4.24723481854872e-09,2.09323983634135e-05,-3.60658594818175e-05,3.60658594305389e-05,-6.48621316360498e-10
0.0592859248365561,2.61089342541768e-06,2.61089354737099e-06,0.000526073652778592,-0.000851185677661469,0.000851185211725305,-3.57301926492464e-07
0.153918660319517,0.000108946635737315,0.000108946760769901,0.00349265194712096,-0.00496892853994954,0.00496884919520647,-1.18902304171912e-05
0.266588181106729,0.000884852603926767,0.000884857857583794,0.0102878222831515,-0.0124812038196818,0.0124801164820441,-7.26090437999594e-05
0.384173669907251,0.00342406906031088,0.00342411739726265,0.0209482202287686,-0.0213629997182543,0.0213584034602757,-0.000204424013958847
0.543877560938615,0.0118453959513534,0.0118456610399029,0.0408217400372953,-0.0324471076171857,0.0324351806412609,-0.000440852893810219
0.761942214416374,0.0370656119154753,0.0370660903539223,0.0769301303864952,-0.0422491940755296,0.042236426513078,-0.000652528975176308
1,0.0872628468076339,0.0872609851468619,0.126604117297654,-0.0441942881049339,0.0441983780235468,-0.000535363293272463
1.26923863838499,0.173598688668326,0.17358964735867,0.193905798783652,-0.0372123391855756,0.0372260544535789,-9.58749714262302e-05
1.58557269342478,0.308346093740168,0.308334780969412,0.286146930479784,-0.0225972359329952,0.0225922574464029,0.000355584418234866
1.9598338402648,0.495604032979137,0.495621995328038,0.410959222277923,-0.0056457055742524,0.00562963078394686,0.000464995787097574
2,0.516553039919526,0.516576262571787,0.425222932062177,-0.00416163230269201,0.00414653341124563,0.000455738379445357
2.20083079867601,0.621868761472588,0.621921936967303,0.498695583708592,0.00191317297497983,-0.00191942461453989,0.000383259269035925
2.67179342202497,0.863626519443485,0.863748909858418,0.682307889701013,0.00748028483259721,-0.00746549969940691,0.000212864209788214
3,1.02327351750399,1.02342424954984,0.816693966331236,0.00621336103728739,-0.00619637788364005,0.000147644578899751
3.52766118987243,1.26768740615429,1.26784557570065,1.03811386412426,0.00159441283120447,-0.00158719401798198,7.14884731096509e-05
4,1.48212350641312,1.4822696717416,1.23700138197762,-0.0010805909982293,0.00107928506824704,1.47311065997554e-05
4.35550034650864,1.64466356954238,1.64480100781585,1.3844979055347,-0.00154436023176299,0.00155020334393326,-1.37210548378175e-05
4.60663273647689,1.76059848487957,1.76071773159588,1.48667123823485,-0.00105159740140787,0.00133410840157681,-2.69773999475161e-05
4.85776512644513,1.87734500952179,1.87708688414513,1.58668730110857,0.00405698519374463,0.000903685537608589,-3.41678991854334e-05
5,1.94373195178319,1.94206961200026,1.64223663428972,0.0139476661426474,0.000634900881668121,-3.05452036856246e-05
5.23417565458176,2.05328127816673,2.04144068142153,1.73170536700829,0.041333454901322,0.000230245963128416,-1.85480668693509e-05
5.47901010702501,2.16795030154314,2.12144991877502,1.82198422159489,0.0695705017427586,-8.34373183473163e-05,-9.89662763219249e-06
5.82095384762406,2.32800452923341,2.16410386405811,1.94074476947078,0.0848646888491642,-0.000296399135338166,3.10888189656593e-05
5.9587819201162,2.39243381765606,2.154552815307,1.98591760667023,0.079654744684483,-0.00031660712589698,6.59139002082458e-05
6,2.41169058283894,2.14876867302736,1.99913411486245,0.0756723718943609,-0.00031695167959171,8.33805950916179e-05
6.11954402724692,2.46751178591416,2.12524459960309,2.03677379494201,0.0569287174342085,-0.00030443177884083,0.00015462995726147
6.31833652492187,2.56024925107518,2.07042141544382,2.09744768697858,0.0130403180599859,-0.000245006152567908,0.000278008315571581
6.62998278156459,2.70545668049442,1.98073359066549,2.18849196953158,-0.0507783173971063,-0.000114615854867549,0.000420009143583203
6.94745913318578,2.8532469807593,1.9362506441917,2.27499515782262,-0.0817389988022289,-4.17967748415089e-06,0.000549671242297875
7,2.87769886787503,1.93607080991356,2.28856569301167,-0.0830700629364228,9.38537690133213e-06,0.000571327311499546
7.22307881975416,2.98150875942951,1.96006626755777,2.34373251552567,-0.0755276147242324,5.09070489611279e-05,0.000668750236729349
7.41739365332507,3.07193277605904,2.01027062737457,2.38887628449277,-0.0443556872706919,6.65234483341358e-05,0.000791099613719357
7.61406777185498,3.16346653140693,2.07724693687024,2.43248953326326,0.000658098192624572,6.2221638527341e-05,0.000903340097051062
7.93416564461817,3.31249797088129,2.17881477224228,2.49959903420491,0.0629537661463642,3.95672077542932e-05,0.00102198771839585
8,3.34316089343093,2.19371191153238,2.51269417769967,0.0713984001980685,3.44944905704105e-05,0.00104240986263945
8.32917177690917,3.49654635538188,2.21841715149796,2.57352930153661,0.0879277180219515,9.19281079610918e-06,0.00113605377258723
8.58688281313718,3.6167123962189,2.17453813868397,2.61559141027291,0.0762071357644683,-1.06975547851393e-05,0.00118460704957197
8.84459384936519,3.73692875975224,2.08211747545093,2.65358742268191,0.0463145513703764,-3.16588757317772e-05,0.00120900813581591
9,3.80943215440587,2.01062903545568,2.67507459718185,0.0155626334240173,-4.32693793539271e-05,0.00122581559129563
9.22099854245032,3.91210638622238,1.90439443562926,2.70428393767025,-0.0255551294021885,-0.00917527343625381,0.00132948174606639
9.44282334256114,4.01057497811284,1.80989188345728,2.73188149424873,-0.0613612878705085,-0.0231659232922131,0.00181857405604222
9.67197431083413,4.10063518147496,1.7431434288702,2.75776929313579,-0.0920042461567973,-0.0339811753344859,0.00235748174323101
9.90628197844032,4.17477862140619,1.72302553490834,2.78037253492623,-0.107069932276261,-0.0408988661004931,0.00260095779871085
10,4.19845867296317,1.73069249588895,2.78816030409518,-0.108016800038802,-0.0424948390602181,0.00257163680931037
10.2618756589022,4.24498285836764,1.80055947573983,2.80623945241646,-0.0974994748539642,-0.0440478745369233,0.00218280332979788
10.5361684108533,4.26225889977107,1.94273000864148,2.82048614304395,-0.0716582087466439,-0.0409736981929023,0.00146124247985184
10.8656381852223,4.24367175278732,2.18073415009548,2.83398790077497,-0.0334698377049175,-0.0333024818272618,0.000720727978785728
11,4.22541696792184,2.29032917709667,2.83896633806572,-0.0185386318434033,-0.0294972410725281,0.000535612893905525
11.3660508817338,4.15111993035441,2.59859570868893,2.85192886342348,0.0147709818484777,-0.0192686835138822,0.00035617393965143
11.6976968538585,4.06152012020018,2.86337713115528,2.86306448610467,0.0315192235623062,-0.0108796564004989,0.000403792807855425
12,3.96930771367326,3.07623590791705,2.87250063066717,0.0368878729644818,-0.0047968984952081,0.000444062008157547
12.3998607837936,3.84129284634486,3.30789676760074,2.88378331044651,0.0333070243733297,0.000787926889529332,0.000392739441677226
12.8020553243795,3.71352209968473,3.48913873726237,2.89400450585168,0.0230929276328136,0.00402124950457001,0.000249070859671283
13,3.65269723766323,3.56384182939126,2.89875090283839,0.0175258324438696,0.00502734813271102,0.000169745648988315
13.4700718185735,3.51660571685624,3.71782217221235,2.90952099444252,0.0061782933152196,0.00648766883017539,6.12379789629444e-06
13.9228205737142,3.39865910509597,3.85263852546749,2.91933152093385,-0.00100736990524149,0.00680452028864509,-0.000101808705704584
14,3.37990377950955,3.87548235473546,2.92094753939242,-0.00181639907246325,0.00680131016554038,-0.000114424119617022
14.385897131429,3.29223506240376,3.99211003092334,2.92875482718674,-0.00471371877853046,0.00734596030159159,-0.000160556739120395
14.8198342797779,3.20649409454772,4.13129033705479,2.93694744181495,-0.00557940238095428,0.00768425455540732,-0.000182239294422806
15,3.17503696359999,4.19205025483348,2.94015705031883,-0.00543680585127508,0.00774433339651417,-0.000183299832201577
15.4350509186223,3.10943708035403,4.34575958614735,2.94743197491382,-0.00464782220717879,0.00812717630730216,-0.00017673740951362
15.8615262625078,3.05972309075769,4.50474296936043,2.95391421017672,-0.00335976252752707,0.00801887158308786,-0.000157901368608219
16,3.04666733036328,4.5577630954118,2.95588329274116,-0.00292800071514283,0.00796767921071978,-0.000150444021867072
16.4346240785392,3.01557775321799,4.72741518664823,2.96163999464175,-0.00173608986804077,0.00821383657464713,-0.000126908142698952
16.8592328500517,2.99986235646482,4.89628842722966,2.96666121724208,-0.000708415076074382,0.0080669827868961,-0.000102707839261168
17,2.99781276436198,4.95263412385697,2.96819898419313,-0.000400132899291483,0.008008120358512,-9.50692192294335e-05
17.4346192766479,3.00144788513625,5.1268226009614,2.97256153656502,0.000489323007390657,0.00820344621717018,-7.29114218586025e-05
17.8595334457763,3.01965087637151,5.2962652800208,2.97628844052235,0.00120128831924881,0.0079733946740507,-5.41979185434725e-05
18,3.02879329430125,5.35187007957526,2.97740944723515,0.00142367160422919,0.00787982894574579,-4.89923834934286e-05
18.437194010152,3.06711149418591,5.5229200527922,2.98056292820238,0.00219592731091707,0.00793716388838827,-3.35710672821598e-05
18.8648217343318,3.11894256281249,5.68626233531371,2.98318562256828,0.00277997734032224,0.00757783839180228,-2.24021111619757e-05
19,3.13818430241578,5.73690760643114,2.98392619516728,0.00295728774121177,0.00744422626515403,-1.99088279391995e-05
19.4436336115078,3.21076151666983,5.89911692690992,2.98607720443489,0.00371266525930151,0.00734033090939147,-1.09323362820347e-05
19.8773755499241,3.29537991204677,6.0508040732803,2.98779789619596,0.00421569164432509,0.00686050672212525,-5.7847173762211e-06
20,3.32163551461456,6.09231650155833,2.98822164451159,0.00434361041283275,0.00670250410879919,-5.24036010451666e-06
20.4549790677596,3.42768862264659,6.24043350498848,2.98957112015696,0.00507830561889238,0.00643883120094811,-6.29049244909432e-07
20.8989501011734,3.54374440831293,6.37505784634223,2.99058141698817,0.00549038703347556,0.00585860095979207,8.02036141336988e-07
21,3.57178074756272,6.40424389280598,2.99077342256397,0.00555684758732752,0.00570205481375982,3.62763022531227e-07
21.4730731481439,3.71055309154735,6.53313238241014,2.99150208556756,0.00623657011146915,0.00527395539900286,2.63428627276491e-06
21.9327068176653,3.85644516997526,6.64528224532363,2.9919724431808,0.00654811549485971,0.00461065387531642,2.23037720131476e-06
22,3.87863790163567,6.66057828422129,2.99202412358295,0.00655366986398865,0.00449245352456566,1.60548624282771e-06
22.3364659116737,3.99253505548169,6.73258959854798,2.99222169429537,0.00712843547210866,0.00416076925908825,6.3502720306398e-07
22.8284240674405,4.16727862736676,6.82344646051093,2.99234555628873,0.0075531516802834,0.00351070833197439,8.06842727874722e-07
23,4.23026903097664,6.8509382802314,2.99234971146946,0.00751000265023563,0.00319642809575421,-7.85202410737804e-07
23.5208839516128,4.42687638838723,6.92077510223011,2.99225720871055,0.00776527565303977,0.00237353920513553,-7.26008517272239e-07
24,4.61332046291411,6.96679281929689,2.99206480214981,0.00763282157356095,0.00154250472767727,-2.31098011936142e-06
24.5011972231493,4.81204651555788,6.99641629898662,2.99178403250435,0.00782246815162705,0.000761993152202783,-3.06393766298475e-06
25,5.01166986838673,7.00671570979585,2.99144763425389,0.00805126707758911,7.21905133630797e-06,-4.20801037455648e-06
25.4965184305076,5.21036743522399,6.99743614015293,2.99107232109991,0.00821164389767462,-0.000764270716431734,-5.72222436457707e-06
26,5.40991748899475,6.96774926448219,2.99066412898229,0.00819467496122113,-0.00156863695750923,-7.47139687424305e-06
26.4954255150931,5.60244246464403,6.91866148667526,2.99024862814042,0.00800419304558104,-0.00237046225293161,-8.48828457569143e-06
27,5.79260736406753,6.84886053329751,2.98982290054879,0.0076842035572195,-0.00317137317126375,-9.30726881545709e-06
27.5012764014317,5.97365961091246,6.76051780677066,2.98940877667682,0.00725665890043748,-0.00392560502946596,-9.04828591204888e-06
28,6.14415793939535,6.65487058123654,2.98901358399242,0.00678775638005316,-0.00464284870457477,-8.01350577304984e-06
28.1951484849835,6.20867138682983,6.60975498844846,2.98891615680364,-0.015646831163976,0.0173133144781179,-0.000110529862823501
28.3902969699671,6.2795888320016,6.57073864946779,2.98871049998714,-0.0484692086619279,0.0405981558016058,-0.000746659610845905
28.7194599615777,6.4329082107635,6.54913984724614,2.98663618607059,-0.0747767858626812,0.0373723365114598,-0.000282966935554301
29,6.59331423975685,6.58993677634173,2.98268232988302,-0.0568416882018203,0.00407112017420312,0.0017224537503452
29.2529753788079,6.74109758395566,6.66388315410246,2.97849586447914,-0.0190949882048037,-0.033965496981188,0.00250439046479592
29.5412381985634,6.88310156423335,6.76131018352527,2.973653503857,0.0237093366831337,-0.0637886987397699,0.00161868769166935
29.7884517570497,6.96514006659959,6.83121699016921,2.96871600850937,0.0492722794900019,-0.0719617858798154,0.000812394232847955
30,7.00270630031066,6.86949095606525,2.96354889115389,0.0354380498951794,-0.0421060294220469,0.00166273661444246
30.1728854282301,7.01938243965006,6.88920502600127,2.95926372840222,0.000291031823293431,0.00547126786740933,0.00195461982482203
30.401082702105,7.04619082870715,6.91697272144041,2.95402755601747,-0.0479679832659002,0.067337937526965,-0.000100069765358678
30.6226787170122,7.10403882012226,6.96653298615122,2.94795077517111,-0.0794976205721763,0.107954162671315,-0.00264335116481659
30.838440645579,7.20918884382876,7.05057636223758,2.93896751491116,-0.0893203353323441,0.123030094728559,-0.00339855207000829
31,7.32375528301842,7.1393743988598,2.92987558807986,-0.0678061171055061,0.10334284413778,-0.00152001896100042
31.1582913479653,7.4611757272011,7.2427580468915,2.92000536655431,-0.0212121723652737,0.0565575666655697,0.000477228550024957
31.3403322918728,7.6353777181026,7.36711998924117,2.90911585749303,0.0411171287457131,-0.00785305004775764,-0.000427543525733044
31.5603294812428,7.84084386754945,7.49803177997071,2.89669752193931,0.107008378854838,-0.0774877936991818,-0.00516667748563278
31.7803266706128,8.0103081653382,7.57923466988571,2.88186634283224,0.148659809968347,-0.12421438144534,-0.00940749426512032
31.9143122201063,8.08596175321767,7.59575451952891,2.86995553597923,0.148044918518664,-0.137877729659832,-0.009793046832766
32,8.12175874018596,7.59272770112441,2.86103041691429,0.133653794202008,-0.135631887903462,-0.00837147450283385
32.2044263325124,8.16916175503315,7.54982751180384,2.83699329895092,0.0762578406938024,-0.103074827128439,-0.00309214884972686
32.4425050915604,8.17294981018392,7.46257455720262,2.80854334197528,0.000692476922153629,-0.0443919735131676,0.000101222424978891
32.7611003442681,8.14434689154895,7.35013229983102,2.77526068266161,-0.072470712291466,0.0251839851218754,-0.00139066028504502
33,8.1349460156454,7.3084662186265,2.75299299387884,-0.0949893269775918,0.0554105037335331,-0.00255764043729151
33.3393998342226,8.17534056563197,7.33922008984326,2.72214864488105,-0.0861850639917925,0.0644150380769389,-0.00126714561594798
33.5827336049042,8.24843787903019,7.42187727535943,2.70080233063996,-0.0627992582570874,0.052931089400604,0.000664637754198704
